categoria,subcategoria,nombre,precio,url,tienda
Arcillas,Arcillas alta temperatura,PA84PC010B Porcelana Blanca Limoge 1230-1280ºC 25Kg,84.52,https://anper.net/productos/266/arcilla-alta-temperatura/pa84pc010b-porcelana-blanca-limoge-1230-1280-c-25kg,Anper
Arcillas,Arcillas alta temperatura,PA84PT010B KPCL Porcelana blanca limoges 20Kg,61.71,https://anper.net/productos/287/arcilla-alta-temperatura/pa84pt010b-kpcl-porcelana-blanca-limoges-20kg,Anper
Arcillas,Arcillas alta temperatura,PAVDARTIKA Porcelana Blanca Ártica Colaje 1260-1300ºC 25Kg,46.53,https://anper.net/productos/307/arcilla-alta-temperatura/pavdartika-porcelana-blanca-artica-colaje-1260-1300-c-25kg,Anper
Arcillas,Arcillas alta temperatura,PAVDARTIKA Porcelana Blanca Ártica húmeda 1260-1300ºC 10Kg,13.03,https://anper.net/productos/306/arcilla-alta-temperatura/pavdartika-porcelana-blanca-artica-humeda-1260-1300-c-10kg,Anper
Arcillas,Arcillas alta temperatura,PAVDBC10 Porcelana Translúcida-Blanca húmeda 10Kg,12.41,https://anper.net/productos/308/arcilla-alta-temperatura/pavdbc10-porcelana-translucida-blanca-humeda-10kg,Anper
Arcillas,Arcillas alta temperatura,PAVDBC10C Porcelana Translúcida-Blanca Colage 25Kg,39.07,https://anper.net/productos/1233/arcilla-alta-temperatura/pavdbc1c0-porcelana-translucida-blanca-colage-25kg,Anper
Arcillas,Arcillas alta temperatura,UPSALA Porcelana azul 5Kg 9A84UPSA,21.15,https://anper.net/productos/1054/arcilla-alta-temperatura/upsala-porcelana-azul-5kg,Anper
Arcillas,Arcillas alta temperatura,"BARCINO Refractaria gris 0-1.5mm 12,5Kg PA84BARCI",16.7,https://anper.net/productos/1055/arcilla-alta-temperatura/barcino-refractaria-gris-0-1-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"BERLIN Pasta refractaria gris 0-0.2mm 12,5Kg PA84BERLIN",16.7,https://anper.net/productos/1246/arcilla-alta-temperatura/berlin-pasta-refractaria-gris-0-0-2mm-12-5kg-pa84berlin,Anper
Arcillas,Arcillas alta temperatura,"BG02 Pasta Gres-refractario Blanco 0-0,2mm 12,5Kg",15.13,https://anper.net/productos/309/arcilla-alta-temperatura/bg02-pasta-gres-refractario-blanco-0-0-2mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"BG05 Pasta Gres-refractario Blanco 0-0,5mm 12,5Kg",15.13,https://anper.net/productos/310/arcilla-alta-temperatura/bg05-pasta-gres-refractario-blanco-0-0-5mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"BG15 Pasta Gres-refractario Blanco 0-2mm 12,5Kg",13.72,https://anper.net/productos/311/arcilla-alta-temperatura/bg15-pasta-gres-refractario-blanco-0-2mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH Pasta Gres-Refractario Beige 0-1mm 12,5Kg",12.85,https://anper.net/productos/318/arcilla-alta-temperatura/pa-ch-pasta-gres-refractario-beige-0-1mm-12-5kg,Anper
Arcillas,Arcillas alta temperatura,"PA-CH3 Pasta Gres-Refractario Beige 1-3 mm 12,5Kg",15.51,https://anper.net/productos/320/arcilla-alta-temperatura/pa-ch3-pasta-gres-refractario-beige-1-3-mm-12-5kg,Anper
